ruleEnginePage.heroDescI18n	"すべてのチャネルの注文をリアルタイムで収集・管理・分析します。"
crm.aiHub.reviews.guideSettingsDesc	"AIトーン設定、自動エスカレーション、Slackアラート"
crm.aiHub.reviews.guideGuideName	"利用ガイド"
crm.aiHub.reviews.guideGuideDesc	"レビュー管理ワークフロー案内"
crm.aiHub.reviews.pageTitle	"🔌 連携ハブ"
crm.aiHub.reviews.csEscalate	"CSエスカレーション"
crm.aiHub.reviews.hideReply	"返信を隠す"
crm.aiHub.reviews.showReply	"返信を表示"
crm.aiHub.reviews.aiDisclaimer	"AI生成案です。送信前に確認してください。"
crm.aiHub.root_pageTitle_reviewsUgc	"レビュー & UGC"
crm.aiHub.webPopup.linkUrl	"ショートカットURL"
crm.aiHub.webPopup.linkUrlDesc	"ポップアップクリック時のランディングページURL"
crm.aiHub.webPopup.linkEnabled	"ショートカットリンク有効"
crm.aiHub.webPopup.linkOpen	"新しいタブで開く"
crm.aiHub.webPopup.linkBadge	"ショートカット"
crm.aiHub.webPopup.linkCopy	"URLコピー"
crm.aiHub.webPopup.linkCopied	"コピー完了!"
crm.aiHub.webPopup.aiImagePh	"AI画像説明 (例: 夏のビーチにサングラス)"
crm.aiHub.webPopup.platformKakao	"カカオチャネル"
crm.aiHub.webPopup.platformPopup	"Webポップアップ"
crm.aiHub.webPopup.heroDesc	"API キーを登録し接続状態を管理します。"
crm.aiHub.webPopup.badgeLive	"リアルタイムトリガー"
crm.aiHub.webPopup.badgeAB	"A/Bテスト"
crm.aiHub.webPopup.statConv	"コンバージョン"
crm.aiHub.webPopup.tabOverview	"パフォーマンス"
crm.aiHub.webPopup.tabManage	"ポップアップ管理"
crm.aiHub.webPopup.tabLive	"ライブプレビュー"
crm.aiHub.webPopup.tabAB	"A/Bテスト"
crm.aiHub.webPopup.popupPerf	"ポップアップパフォーマンス"
crm.aiHub.webPopup.colName	"キャンペーン名"
crm.aiHub.webPopup.colTrigger	"トリガー"
crm.aiHub.webPopup.colStatus	"ステータス"
crm.aiHub.webPopup.colClicks	"クリック"
crm.aiHub.webPopup.colConv	"コンバージョン"
crm.aiHub.webPopup.preview	"プレビュー"
crm.aiHub.webPopup.triggerExit	"カート離脱"
crm.aiHub.webPopup.triggerScroll	"スクロール深度"
crm.aiHub.webPopup.triggerInactive	"非アクティブ検知"
crm.aiHub.webPopup.triggerExitDesc	"マウスがビューポートを離脱時"
crm.aiHub.webPopup.triggerScrollDesc	"N%スクロール時"
crm.aiHub.webPopup.triggerInactiveDesc	"N秒操作なし時"
crm.aiHub.webPopup.createPopup	"新規ポップアップ作成"
crm.aiHub.webPopup.editPopup	"ポップアップ編集"
crm.aiHub.webPopup.popupName	"ポップアップ名"
crm.aiHub.webPopup.popupNamePh	"例: カート離脱クーポン"
crm.aiHub.webPopup.title	"タイトル"
crm.aiHub.webPopup.titlePh	"例: お待ちください！今なら10%オフ！"
crm.aiHub.webPopup.ctaBtn	"CTAボタンテキスト"
crm.aiHub.webPopup.buyNow	"今すぐ購入"
crm.aiHub.webPopup.bodyPh	"ポップアップ本文..."
crm.aiHub.webPopup.triggerType	"トリガータイプ"
crm.aiHub.webPopup.live	"Exit-Intentライブデモ"
crm.aiHub.webPopup.howItWorks	"Exit-Intentの動作方法"
crm.aiHub.webPopup.step1	"「検知開始」ボタンをクリック"
crm.aiHub.webPopup.step2	"マウスをブラウザ上部に素早く移動"
crm.aiHub.webPopup.step3	"3秒以内にポップアップが表示されます！"
crm.aiHub.webPopup.step4	"タブ切替でもトリガーされます"
crm.aiHub.webPopup.liveMoveUp	"検知有効 — マウスを上に！"
crm.aiHub.webPopup.previewNow	"ポップアップをプレビュー"
crm.aiHub.webPopup.sessionConv	"セッションコンバージョン"
crm.aiHub.webPopup.abResult	"A/Bテスト結果"
crm.aiHub.webPopup.abInsight	"AI分析: ベイジアン信頼度に基づく最適バリアント自動配信推奨"
crm.aiHub.webPopup.globalSettings	"グローバルトリガー設定"
crm.aiHub.webPopup.settingExitDesc	"マウスがビューポート上部を離脱時"
crm.aiHub.webPopup.settingTab	"タブ切替検知"
crm.aiHub.webPopup.settingTabDesc	"ユーザーが他のタブに移動時"
crm.aiHub.webPopup.settingInactive	"非アクティブ自動トリガー"
crm.aiHub.webPopup.settingInactiveDesc	"30秒以上操作なし時"
crm.aiHub.webPopup.settingMobile	"モバイルスクロールトリガー"
crm.aiHub.webPopup.settingMobileDesc	"下部バウンススクロール検知"
crm.aiHub.webPopup.settingCookie	"クッキー重複防止"
crm.aiHub.webPopup.settingCookieDesc	"既読ポップアップを24時間非表示"
crm.aiHub.webPopup.settingGdprDesc	"同意済みユーザーのみ表示"
crm.aiHub.webPopup.limitedOffer	"限定オファー"
crm.aiHub.webPopup.couponExpiry	"クーポン期限まで"
crm.aiHub.webPopup.emailPlaceholder	"メールアドレス入力（任意）"
crm.aiHub.webPopup.privacyNote	"クーポンコードはメールで送信 · 個人情報収集なしで即時適用可能"
crm.aiHub.webPopup.couponApplied	"クーポンが適用されました！"
crm.aiHub.webPopup.closingSoon	"まもなく閉じます…"
crm.aiHub.webPopup.noAbTests	"実行中のA/Bテストなし"
crm.aiHub.webPopup.noAbTestsDesc	"ポップアップを作成してA/Bテストを有効にすると結果がリアルタイムで表示されます。"
crm.aiHub.webPopup.aiDesignTitle	"AIポップアップ自動デザイン"
crm.aiHub.webPopup.aiDesignDesc	"テーマとトピックを入力するとAIが最適なポップアップデザインを自動生成します。"
crm.aiHub.webPopup.aiThemeLabel	"テーマ"
crm.aiHub.webPopup.aiThemeDiscount	"割引クーポン"
crm.aiHub.webPopup.aiThemeNewsletter	"ニュースレター"
crm.aiHub.webPopup.aiThemeCart	"カート離脱"
crm.aiHub.webPopup.aiThemeWelcome	"ウェルカム"
crm.aiHub.webPopup.aiThemeFlash	"フラッシュセール"
crm.aiHub.webPopup.aiThemeSeason	"シーズンイベント"
crm.aiHub.webPopup.aiTopicLabel	"トピック/商品名"
crm.aiHub.webPopup.aiTopicPh	"例: 夏の新作20%オフ"
crm.aiHub.webPopup.aiGenerate	"AIデザイン生成"
crm.aiHub.webPopup.aiGenerating	"デザイン生成中..."
crm.aiHub.webPopup.aiDesignResult	"AI生成ポップアップデザイン"
crm.aiHub.webPopup.aiApply	"このデザインを適用"
crm.aiHub.webPopup.guideTabsTitle	"タブ機能"
crm.aiHub.webPopup.guideDashName	"パフォーマンス"
crm.aiHub.webPopup.guideFeedName	"ポップアップ管理"
crm.aiHub.webPopup.guideFeedDesc	"CRUD、AIデザイン"
crm.aiHub.webPopup.guideTrendName	"ライブプレビュー"
crm.aiHub.webPopup.guideTrendDesc	"Exit-Intentテスト"
crm.aiHub.webPopup.guideSettingsName	"A/Bテスト"
crm.aiHub.webPopup.guideSettingsDesc	"バリアント比較"
crm.aiHub.webPopup.guideGuideDesc	"トリガー、GDPR管理"
crm.aiHub.webPopup.uploadCustom	"カスタムポップアップ登録"
crm.aiHub.webPopup.uploadCustomDesc	"自作画像をアップロードしてポップアップや広告コンテンツに使用。"
crm.aiHub.webPopup.uploadImage	"画像アップロード"
crm.aiHub.webPopup.uploadDragDrop	"ドラッグ＆ドロップまたはクリック"
crm.aiHub.webPopup.uploadPreview	"プレビュー"
crm.aiHub.webPopup.uploadApply	"ポップアップに適用"
crm.aiHub.webPopup.uploadRemove	"画像を削除"
crm.aiHub.omniChannel.heroDesc	"グローバル・日本・国内13の販売チャネルを一つのダッシュボードで統合管理。APIキー登録、商品/受注/在庫のリアルタイム同期。"
crm.aiHub.omniChannel.badgeChannelCount	":{{n}}チャネル連携"
crm.aiHub.omniChannel.badgeRegion	"グローバル+国内"
crm.aiHub.omniChannel.badgeFree	"無料プラン"
crm.aiHub.omniChannel.tabChannels	"チャネル連携"
crm.aiHub.omniChannel.tabChannelsDesc	"チャネル一覧・接続状態"
crm.aiHub.omniChannel.tabInventoryDesc	"リアルタイム在庫監視"
crm.aiHub.omniChannel.tabOverviewDesc	"チャネルKPIダッシュボード"
crm.aiHub.omniChannel.tabGuideDesc	"ステップ別設定案内"
crm.aiHub.omniChannel.groupGlobal	"グローバルチャネル"
crm.aiHub.omniChannel.groupJapan	"日本チャネル"
crm.aiHub.omniChannel.groupDomestic	"国内チャネル"
crm.aiHub.omniChannel.statusConnected	"接続済み"
crm.aiHub.omniChannel.btnAuthKey	"認証キー"
crm.aiHub.omniChannel.guideTabsTitle	"タブ機能案内"
crm.aiHub.omniChannel.guideDashName	"チャネル連携"
crm.aiHub.omniChannel.guideDashDesc	"APIキー登録・接続テスト・自動同期"
crm.aiHub.omniChannel.guideFeedDesc	"収集商品一覧・手数料計算"
crm.aiHub.omniChannel.guideTrendDesc	"統合注文閲覧・ステータス更新"
crm.aiHub.omniChannel.guideSettingsDesc	"在庫モニタリング・不足アラート"
crm.aiHub.omniChannel.guideGuideName	"利用ガイド"
crm.aiHub.omniChannel.guideGuideDesc	"オムニチャネル完全マニュアル"
crm.aiHub.omniChannel.kpiAllChannel	"全チャネル"
crm.aiHub.omniChannel.kpiIntegChannels	"連携チャネル"
crm.aiHub.omniChannel.planPro	"🔑 PRO — 全チャネルリアルタイム同期"
crm.aiHub.omniChannel.planFree	"🎮 無料プラン — 基本チャネル対応"
crm.aiHub.omniChannel.statusError	"エラー"
crm.aiHub.omniChannel.statusUntested	"未テスト"
crm.aiHub.omniChannel.colChannel	"チャネル"
crm.aiHub.omniChannel.colCategory	"カテゴリ"
crm.aiHub.omniChannel.colStatus	"ステータス"
crm.aiHub.omniChannel.colRevenueShare	"売上シェア"
crm.aiHub.omniChannel.allChannel	"全チャネル"
crm.aiHub.omniChannel.loading	"読み込み中..."
crm.aiHub.omniChannel.noData	"データなし"
crm.aiHub.omniChannel.btnConnTest	"接続テスト"
crm.aiHub.omniChannel.btnClose	"閉じる"
crm.aiHub.omniChannel.demoSaveMsg	"デモモードでは保存が無効です。"
crm.aiHub.omniChannel.demoTestMsg	"デモモードではテストが無効です。"
crm.aiHub.omniChannel.demoStatusMsg	"デモモードではステータス変更が無効です。"
crm.aiHub.omniChannel.integSuccess	"連携成功：商品{{products}}件、注文{{orders}}件を収集"
crm.aiHub.omniChannel.statusCancelReq	"キャンセル"
crm.aiHub.omniChannel.overviewTitle	"チャネル別統合現況"
crm.aiHub.omniChannel.pageTitle	"オムニチャネル管理"
crm.aiHub.omniChannel.pageSub	"統合販売チャネル管理"
crm.aiHub.omniChannel.addChannel	"チャネル追加"
crm.aiHub.omniChannel.noChannels	"登録されたチャネルがありません。"
crm.aiHub.omniChannel.colName	"チャネル名"
crm.aiHub.omniChannel.active	"アクティブ"
crm.aiHub.omniChannel.inactive	"非アクティブ"
crm.aiHub.omniChannel.liveSyncMsg	"リアルタイムクロスタブ同期有効 — 全モジュールデータがリアルタイム反映"
crm.aiHub.omniChannel.xssBlocked	"悪意ある入力が検出されブロックされました。"
crm.aiHub.omniChannel.stepLabel	"ステップ"
crm.aiHub.omniChannel.defaultWarehouse	"デフォルト"
crm.aiHub.expired	"期限切れ"
crm.aiHub.daysLeft	"日残り"
crm.aiHub.stUnpaid	"未払い"
crm.aiHub.stOverpaid	"過払い"
crm.aiHub.engagement	"エンゲージメント"
crm.aiHub.productPage	"商品ページ"
crm.aiHub.positive	"ポジティブ"
crm.aiHub.neutral	"ニュートラル"
crm.aiHub.negative	"ネガティブ"
crm.aiHub.guideTabsTitle	"タブ機能ガイド"
crm.aiHub.helpful	"参考になった"
crm.aiHub.tab_guide	"📖 ガイド"
crm.aiHub.desc_guide	"利用ガイド"
crm.aiHub.guideIdentName	"クリエイター統合"
crm.aiHub.guideIdentDesc	"マルチプラットフォーム統合·重複/なりすまし検出·認証管理"
crm.aiHub.guideContractDesc	"固定費/成果報酬·権利範囲·電子署名·ホワイトリスト管理"
crm.aiHub.guideSettleDesc	"契約ベース自動精算·過払い/未払い検出·税金自動控除"
crm.aiHub.guideRoiName	"ROIランキング"
crm.aiHub.guideRoiDesc	"クリエイター別ROI順位·高閲覧/低購入分析·コンテンツ再利用推薦"
crm.aiHub.guideUgcName	"UGCレビュー"
crm.aiHub.guideUgcDesc	"チャネル別レビュー感情分析·ネガティブキーワード追跡·自動CS通知"
crm.aiHub.guideAiDesc	"AI総合スコア/グレード·コミッション最適化·契約更新勧告"
crm.aiHub.liveSyncMsg	"リアルタイムクロスタブ同期有効 — 全モジュールデータがリアルタイム反映"
crm.aiHub.exportCsv	"CSVエクスポート"
crm.aiHub.kpiAllReviews	"全レビュー"
crm.aiHub.kpiNegReviews	"ネガティブレビュー"
crm.aiHub.kpiPosRate	"ポジティブ率"
crm.aiHub.kpiAllReviewsSub	"全チャネル合計"
crm.aiHub.channelRatingTitle	"チャネル別評価状況"
crm.aiHub.negKeywordTitle	"ネガティブキーワードTop 5"
crm.aiHub.posLabel	"ポジティブ"
crm.aiHub.negLabel	"ネガティブ"
crm.aiHub.negKeywordAlert	"ネガティブキーワード急増時Slack自動通知"
crm.aiHub.reviewFeedTitle	"レビューフィード"
crm.aiHub.filterAllChannel	"全チャネル"
crm.aiHub.filterPos	"ポジティブ"
crm.aiHub.filterNeutral	"ニュートラル"
crm.aiHub.filterNeg	"ネガティブ"
crm.aiHub.searchPh	"レビュー検索..."
crm.aiHub.noResults	"検索結果なし"
crm.aiHub.aiEvalTitle	"AIインフルエンサー総合評価"
crm.aiHub.aiEvalSub	"Claude Sonnet 3.5基盤·ROI·コンバージョン·エンゲージメント·コミッション・更新勧告"
crm.aiHub.aiDemoGraphics	"地域·年齢·性別エンゲージメント分析"
crm.aiHub.aiAnalyzing	"Claude AIがクリエイターデータを分析中です..."
crm.aiHub.aiAnalyzingSub	"名クリエイター·ROI分析·コミッション最適化·更新検討"
crm.aiHub.aiTargetCreators	"評価対象クリエイター"
crm.aiHub.aiStartMsg	"上の「AI評価実行」ボタンをクリックして分析を開始してください。"
crm.aiHub.aiPortfolioSummary	"ポートフォリオ総合分析"
crm.aiHub.aiCreatorRanking	"クリエイターAI評価ランキング"
crm.aiHub.aiRankingDesc	"行をクリックして項目別スコア·コミッション推薦·契約更新勧告の詳細を確認"
crm.aiHub.aiScoreTitle	"AIスコア"
crm.aiHub.aiRecCommission	"推薦コミッション"
crm.aiHub.aiEvalItemScores	"項目別スコア"
crm.aiHub.aiStrengths	"強み"
crm.aiHub.aiCommissionRec	"AI推薦コミッション"
crm.aiHub.aiContractType	"契約タイプ"
crm.aiHub.aiNegTip	"交渉ヒント"
crm.aiHub.aiPortfolioInsights	"ポートフォリオ戦略インサイト"
crm.aiHub.roiRanking	"クリエイターROIランキング"
crm.aiHub.hvlsDesc	"閲覧200K+·注文<50 — コンテンツ最適化またはLP改善必要"
crm.aiHub.contentReuse	"コンテンツ再利用推薦"
crm.aiHub.contentReuseSub	"エンゲージメント率5%+·注文50件+コンテンツ"
crm.aiHub.settleNoDocs	"書類なし"
crm.aiHub.aiBreakdown	"評価項目別スコア"
crm.aiHub.strengths	"強み"
crm.aiHub.negotiationTip	"交渉ヒント"
crm.aiHub.aiRanking	"AI評価ランキング"
crm.aiHub.aiRankingSub	"行クリックで詳細表示"
crm.aiHub.aiPolicy.active	"アクティブ"
crm.aiHub.aiPolicy.heroDesc	"API キーを登録し接続状態を管理します。"
crm.aiHub.actionPresets.pageTitle	"ページタイトル"
crm.aiHub.crm.gRisk	"リスク"
crm.aiHub.crm.gChamp	"チャンピオン"
crm.aiHub.crm.gLoyal	"ロイヤル"
crm.aiHub.crm.emptyCust	"顧客がありません。"
crm.aiHub.crm.btnEmail	"📧メール"
crm.aiHub.crm.btnKakao	"💬カカオ"
crm.aiHub.crm.segDesc	"セグメント"
crm.aiHub.crm.rfmListTit	"RFMセグメント"
crm.aiHub.crm.colEmail	"メール"
crm.aiHub.crm.tabAiSeg	"🤖 AIセグメント"
crm.aiHub.crm.tabManSeg	"📋 手動セグメント"
crm.aiHub.crm.pageSub	"顧客データ統合管理 · セグメント · RFM · AI"
crm.aiHub.crm.statAct	"アクティブ"
crm.aiHub.crm.statSeg	"セグメント"
crm.aiHub.crm.btnCancel	"キャンセル"
crm.aiHub.crm.email.lblProvider	"プロバイダー"
crm.aiHub.crm.email.lblSmtpHost	"SMTPホスト"
crm.aiHub.crm.email.lblSmtpPort	"SMTPポート"
crm.aiHub.crm.email.lblSmtpUser	"SMTPユーザー"
crm.aiHub.crm.email.lblPassword	"パスワード"
crm.aiHub.crm.email.fromEmail	"送信元メール"
crm.aiHub.crm.email.awsRegion	"AWSリージョン"
crm.aiHub.crm.email.msgDelConfirm	"削除しますか?"
crm.aiHub.crm.email.catWelcome	"ウェルカム"
crm.aiHub.crm.email.catPromotion	"プロモーション"
crm.aiHub.crm.email.catRetention	"リテンション"
crm.aiHub.crm.email.tplNew	"✨ 新規テンプレート"
crm.aiHub.crm.email.noTemplates	"テンプレートなし"
crm.aiHub.crm.email.tplCreate	"テンプレート作成"
crm.aiHub.crm.email.tplEdit	"テンプレート編集"
crm.aiHub.crm.email.lblTplName	"テンプレート名"
crm.aiHub.crm.email.lblCategory	"カテゴリ"
crm.aiHub.crm.email.subjPh	"件名を入力..."
crm.aiHub.crm.email.msgSendConfirm	"送信しますか?"
crm.aiHub.crm.email.kpiTotal	"キャンペーン"
crm.aiHub.crm.email.kpiEmails	"メール数"
crm.aiHub.crm.email.kpiClick	"クリック率"
crm.aiHub.crm.email.cNew	"🚀 新規キャンペーン"
crm.aiHub.crm.email.fName	"キャンペーン名*"
crm.aiHub.crm.email.fTpl	"テンプレート"
crm.aiHub.crm.email.fTarget	"対象セグメント"
crm.aiHub.crm.email.cStat	"📊 キャンペーン状況"
crm.aiHub.crm.email.colTpl	"テンプレート"
crm.aiHub.crm.email.colTarget	"セグメント"
crm.aiHub.crm.email.colClick	"クリック率"
crm.aiHub.crm.email.colStatus	"ステータス"
crm.aiHub.crm.email.emptyCamp	"キャンペーンがありません。"
crm.aiHub.crm.email.anClickRate	"クリック率"
crm.aiHub.crm.email.anSegPerf	"セグメント別パフォーマンス"
crm.aiHub.crm.email.anNoData	"分析データなし"
crm.aiHub.crm.email.anCamps	"キャンペーン"
crm.aiHub.crm.email.tabCamp	"📢 キャンペーン"
crm.aiHub.crm.email.tabTpl	"📝 テンプレート"
crm.aiHub.crm.email.title	"📧 メールマーケティング"
crm.aiHub.crm.email.subTitle	"全プラットフォームモジュールでリアルタイム同期のメールキャンペーンを作成"
crm.aiHub.crm.email.guideTabsTitle	"タブ別機能ガイド"
crm.aiHub.crm.email.guideCampName	"キャンペーン管理"
crm.aiHub.crm.email.guideCampDesc	"キャンペーンの作成・送信・パフォーマンス管理"
crm.aiHub.crm.email.guideTplName	"テンプレート管理"
crm.aiHub.crm.email.guideTplDesc	"メールHTMLテンプレートの登録・編集"
crm.aiHub.crm.email.guideAnalyticsDesc	"開封率・クリック率の分析"
crm.aiHub.crm.email.guideSetDesc	"SMTP/AWS SESプロバイダー設定"
crm.aiHub.crm.email.guideCreativeName	"クリエイティブ"
crm.aiHub.crm.email.guideCreativeDesc	"AI画像生成でメールデザインを作成"
crm.aiHub.crm.email.tabCreative	"🎨 クリエイティブ"
crm.aiHub.crm.email.connectedChannels	"接続チャネル"
crm.aiHub.crm.email.noChannels	"メールサービス未接続"
crm.aiHub.crm.email.goHub	"統合ハブへ"
crm.aiHub.crm.email.liveSyncStatus	"リアルタイム同期有効"
crm.aiHub.crm.email.secLockTitle	"セキュリティ警告"
crm.aiHub.crm.email.secLockDesc	"異常アクセス検出"
crm.aiHub.crm.email.syncNow	"今すぐ同期"
crm.aiHub.crm.email.exportCsv	"CSVエクスポート"
crm.aiHub.crm.email.msgTplReq	"❌ 必須項目を入力してください"
crm.aiHub.crm.guideCustName	"👥 顧客リスト"
crm.aiHub.crm.guideCustDesc	"全顧客データをテーブル形式で管理。検索、ソート、ページネーション対応。クリックで詳細パネルを開き、購入履歴と活動ログを確認できます。"
crm.aiHub.crm.guideAiName	"🤖 AIセグメント"
crm.aiHub.crm.guideAiDesc	"AIが顧客データを分析しセグメントを自動作成。VIPアップセル候補、離脱リスク顧客を識別し、予測売上とAIインサイトを提供します。"
crm.aiHub.crm.guideSegName	"🏷 手動セグメント"
crm.aiHub.crm.guideSegDesc	"ユーザーが独自の条件を設定して顧客グループを作成。LTV、購入頻度などの条件を組み合わせてターゲットマーケティングに活用します。"
crm.aiHub.crm.guideRfmDesc	"最近性・頻度・金額の3基準で顧客を5グレードに自動分類。グレード別顧客数を視覚的に確認し、詳細リストをテーブルで管理します。"
crm.aiHub.crm.aiSegVip	"VIPアップセル候補"
crm.aiHub.crm.aiSegVipReason	"高LTV、直近30日以内に購入"
crm.aiHub.crm.aiSegVipInsight	"プレミアムアップグレードの提案に適しています。"
crm.aiHub.crm.aiSegChurn	"離脱リスク — 1回購入者"
crm.aiHub.crm.aiSegChurnReason	"1回のみ購入、60日以上非活動"
crm.aiHub.crm.aiSegChurnInsight	"リエンゲージメント割引を即座に送信してください。"
crm.aiHub.crm.btnEmailMkt	"📧 メールマーケティング"
crm.aiHub.crm.btnJourney	"🗺️ カスタマージャーニー連携"
crm.aiHub.crm.exportCsv	"CSVエクスポート"
crm.aiHub.crm.connectedChannels	"接続チャネル"
crm.aiHub.crm.noConnectedChannels	"接続チャネルがありません。統合ハブでAPIキーを登録してください。"
crm.aiHub.crm.goIntegrationHub	"統合ハブへ移動"
crm.aiHub.crm.liveSyncStatus	"リアルタイムクロスタブ同期有効 — すべてのメニューのデータがリアルタイムで反映されます。"
crm.aiHub.crm.secLockTitle	"セキュリティ警告検出"
crm.aiHub.crm.secLockDesc	"異常なアクセスが検出されブロックされました。"
crm.aiHub.crm.deleteConfirm	"この顧客を削除しますか？"
crm.aiHub.crm.page	"ページ"
crm.aiHub.crm.of	"/"
crm.aiHub.crm.prev	"前へ"
crm.aiHub.crm.next	"次へ"
crm.aiHub.crm.dateFilter	"期間フィルタ"
crm.aiHub.crm.syncNow	"今すぐ同期"
crm.aiHub.catalogSync.validationNameCategory	"商品名とカテゴリを入力してください。"
crm.aiHub.catalogSync.validationBox	"箱ごとの数量を入力してください。"
crm.aiHub.catalogSync.validationPl	"パレットごとの箱の数を入力してください。"
crm.aiHub.catalogSync.productNamePh	"商品名を入力してください"
crm.aiHub.catalogSync.skuLabel	"SKUコード"
crm.aiHub.catalogSync.skuPh	"SKUコードを入力してください"
crm.aiHub.catalogSync.categoryLabel	"カテゴリ"
crm.aiHub.catalogSync.specPh	"仕様を入力してください"
crm.aiHub.catalogSync.unitSelection	"販売単位の選択"
crm.aiHub.catalogSync.boxDetailsTitle	"箱の詳細"
crm.aiHub.catalogSync.qtyPerBoxLabel	"箱あたりの数量"
crm.aiHub.catalogSync.palletDetailsTitle	"パレットの詳細"
crm.aiHub.catalogSync.boxPerPlLabel	"パレットあたりの箱数"
crm.aiHub.catalogSync.uploadImage	"画像アップロード"
crm.aiHub.catalogSync.cancel	"キャンセル"
crm.aiHub.catalogSync.registerToChannel	"チャネル登録"
crm.aiHub.catalogSync.selectChannelStep	"ステップ1: チャネル選択"
crm.aiHub.catalogSync.setPriceStep	"ステップ2: 価格設定"
crm.aiHub.catalogSync.approveRegisterStep	"ステップ3: 最終承認"
crm.aiHub.catalogSync.registerToChannelAction	"チャネルに登録"
crm.aiHub.catalogSync.registerToChannelDesc	"選択したチャネルに商品を登録します。"
crm.aiHub.catalogSync.unregisterChannelAction	"チャネル接続解除"
crm.aiHub.catalogSync.unregisterChannelDesc	"選択したチャネルから商品を解除します。"
crm.aiHub.catalogSync.targetChannel	"対象チャネル"
crm.aiHub.catalogSync.channelsSelected	"{{n}}チャネル選択済み"
crm.aiHub.catalogSync.cancelBtn	"キャンセル"
crm.aiHub.catalogSync.nextSetPriceBtn	"次へ: 価格設定"
crm.aiHub.catalogSync.channelPriceRecommendTitle	"チャネル別推奨販売価格"
crm.aiHub.catalogSync.channelPriceRecommendDesc	"原価、手数料率、税率を考慮した自動計算推奨価格です。"
crm.aiHub.catalogSync.channelPriceAdjustDesc	"マージン率を調整するか、直接価格を入力できます。"
crm.aiHub.catalogSync.colChannels	"チャネル"
crm.aiHub.catalogSync.actualMarginLabel	"実質マージン"
crm.aiHub.catalogSync.backBtn	"戻る"
crm.aiHub.catalogSync.nextApproveBtn	"次へ: 最終承認"
crm.aiHub.catalogSync.finalReviewTitle	"最終レビュー"
crm.aiHub.catalogSync.channelFinalSummary	"チャネル別最終サマリー"
crm.aiHub.catalogSync.approvalNoteText	"上記の内容を確認し、チャネル登録を進めます。"
crm.aiHub.catalogSync.registerDoneMsg	"✅ チャネル登録が完了しました！"
crm.aiHub.catalogSync.registerRunMsg	"{{n}}商品の登録実行"
crm.aiHub.catalogSync.fixedPriceDesc	"すべての商品に同じ価格を設定します。"
crm.aiHub.catalogSync.markupLabel	"マークアップ(%)"
crm.aiHub.catalogSync.markupDesc	"現在の価格に対する上乗せ率を適用します。"
crm.aiHub.catalogSync.discountDesc	"現在の価格に対する割引率を適用します。"
crm.aiHub.catalogSync.fixedPricePh	"固定価格を入力"
crm.aiHub.catalogSync.markupPh	"マークアップ率を入力"
crm.aiHub.catalogSync.discountPh	"割引率を入力"
crm.aiHub.catalogSync.changePreview	"変更プレビュー"
crm.aiHub.catalogSync.applyChannel	"適用チャネル"
crm.aiHub.catalogSync.priceEditDoneMsg	"✅ 価格編集が完了しました！"
crm.aiHub.catalogSync.priceEditApply	"{{n}}商品の価格適用"
crm.aiHub.catalogSync.registerDoneToast	"✅ {{n}}商品のチャネル登録完了！"
crm.aiHub.catalogSync.disconnectDoneToast	"✅ {{n}}商品のチャネル接続解除完了！"
crm.aiHub.catalogSync.priceEditDoneToast	"✅ {{n}}商品の価格編集完了！"
crm.aiHub.catalogSync.csvExportDone	"📤 CSVエクスポート完了: {{n}}商品"
crm.aiHub.catalogSync.csvImportEmpty	"❌ CSVファイルに有効なデータがありません。"
crm.aiHub.catalogSync.csvImportDone	"📥 CSVインポート完了: {{n}}商品"
crm.aiHub.catalogSync.csvImportError	"❌ CSVファイル処理中にエラーが発生しました。"
crm.aiHub.catalogSync.excelImportEmpty	"❌ Excelファイルに有効なデータがありません。"
crm.aiHub.catalogSync.excelImportDone	"📊 Excelインポート完了: {{n}}商品"
crm.aiHub.catalogSync.excelImportError	"❌ Excelファイル処理中にエラーが発生しました。"
crm.aiHub.catalogSync.excelExportDone	"📊 Excelエクスポート完了: {{n}}商品"
crm.aiHub.catalogSync.templateDownloaded	"📋 Excelテンプレートがダウンロードされました。"
crm.aiHub.catalogSync.statusError	"エラー"
crm.aiHub.catalogSync.searchPlaceholder	"商品名またはSKU検索..."
crm.aiHub.catalogSync.allChannel	"全チャネル"
crm.aiHub.catalogSync.allStatus	"全ステータス"
crm.aiHub.catalogSync.excelTemplate	"Excelテンプレート"
crm.aiHub.catalogSync.excelExport	"Excelエクスポート"
crm.aiHub.catalogSync.excelImport	"Excelインポート"
crm.aiHub.catalogSync.csvExport	"CSVエクスポート"
crm.aiHub.catalogSync.csvImport	"CSVインポート"
crm.aiHub.catalogSync.bulkRegisterBtn	"一括チャネル登録"
crm.aiHub.catalogSync.colMargin	"マージン"
crm.aiHub.catalogSync.colCategory	"カテゴリ"
crm.aiHub.catalogSync.colStatus	"ステータス"
crm.aiHub.catalogSync.prevPage	"前へ"
crm.aiHub.catalogSync.nextPage	"次へ"
crm.aiHub.catalogSync.optionColor	"カラー"
crm.aiHub.catalogSync.optionSize	"サイズ"
crm.aiHub.catalogSync.channelPrice	"チャネル別販売価格"
crm.aiHub.catalogSync.optionsVariants	"オプション/バリエーション"
crm.aiHub.catalogSync.totalSkuCombo	"合計SKU組み合わせ: {{n}}"
crm.aiHub.catalogSync.reservedStockLabel	"予約済み在庫"
