keypath,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class,n_placeholder,action
pages.marketingIntel.pricingDetail.growth_s3i5,SMS/LMS 캠페인·템플릿,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMSキャンペーン・テンプレート,PASS,SMS/LMS活动·短信模板,PASS,SMS/LMS活动·短信模板,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,SMS/LMS Campaign·Text Templates,PASS,Chiến dịch SMS/LMS·Mẫu tin nhắn,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s3i6,이탈 팝업·웹 팝업(기본),PASS,Exit Popup·Web Popup (Basic),PASS,離脱ポップアップ・Webポップアップ（基本）,PASS,退出弹窗·网页弹窗（基础）,PASS,退出弹窗·网页弹窗（基础）,PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Exit Popup·Web Popup (Basic),PASS,Popup thoát·Popup web (Cơ bản),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4,커머스 & 물류(국내),PASS,Commerce & Logistics (Domestic),PASS,コマース＆物流（国内）,PASS,商务与物流（国内）,PASS,商务与物流（国内）,PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Commerce & Logistics (Domestic),PASS,Thương mại & Logistics (Nội địa),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i1,Coupang·Naver·Cafe24 채널 연동,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang・Naver・Cafe24チャネル連携,PASS,Coupang·Naver·Cafe24渠道集成,PASS,Coupang·Naver·Cafe24渠道集成,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Coupang·Naver·Cafe24 Channel Integration,PASS,Tích hợp kênh Coupang·Naver·Cafe24,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i2,주문 허브(전체 주문·클레임·반품·배송),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,注文ハブ（全注文・クレーム・返品・配送）,PASS,订单中心（全部订单·索赔·退货·配送）,PASS,订单中心（全部订单·索赔·退货·配送）,PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Order Hub (All Orders·Claims·Returns·Shipping),PASS,Trung tâm đơn hàng (Tất cả·Khiếu nại·Trả hàng·Vận chuyển),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i3,일괄 상품 등록·카탈로그 동기화·가격 규칙,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,一括商品登録・カタログ同期・価格ルール,PASS,批量产品注册·目录同步·价格规则,PASS,批量产品注册·目录同步·价格规则,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Bulk Product Register·Catalog Sync·Price Rules,PASS,Đăng ký hàng loạt·Đồng bộ danh mục·Quy tắc giá,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i4,기본 WMS(재고·알림·입출고),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,基本WMS（在庫・アラート・入出庫）,PASS,基础WMS（库存·警报·入出库）,PASS,基础WMS（库存·警报·入出库）,PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,Basic WMS (Stock·Alerts·Inbound·Outbound),PASS,WMS cơ bản (Tồn kho·Cảnh báo·Nhập/Xuất),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i5,월별 정산·배송·Excel 출력,PASS,Monthly Settlement·Shipping·Excel Export,PASS,月次精算・配送・Excel出力,PASS,月度结算·配送·Excel导出,PASS,月度结算·配送·Excel导出,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Monthly Settlement·Shipping·Excel Export,PASS,Quyết toán hàng tháng·Vận chuyển·Xuất Excel,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s4i6,,MISSING,3PL Carrier List View,PASS,3PL物流一覧表示,PASS,3PL物流商列表查看,PASS,3PL物流商列表查看,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,3PL Carrier List View,PASS,Xem danh sách 3PL,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s5,분석 & 성과,PASS,Analytics & Performance,PASS,分析＆パフォーマンス,PASS,分析与绩效,PASS,分析与绩效,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Analytics & Performance,PASS,Phân tích & Hiệu suất,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s5i1,성과 요약·채널·상품·캠페인,PASS,Performance Summary·Channel·Product·Campaign,PASS,パフォーマンス要約・チャネル・商品・キャンペーン,PASS,绩效摘要·渠道·产品·活动,PASS,绩效摘要·渠道·产品·活动,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Performance Summary·Channel·Product·Campaign,PASS,Tóm tắt hiệu suất·Kênh·Sản phẩm·Chiến dịch,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s5i2,,MISSING,P&L Overview,PASS,P&L概要,PASS,损益概览,PASS,损益概览,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,P&L Overview,PASS,Tổng quan P&L,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s5i3,AI 인사이트 피드,PASS,AI Insight Feed,PASS,AIインサイトフィード,PASS,AI洞察馈送,PASS,AI洞察馈送,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,AI Insight Feed,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s5i4,커스텀 리포트·Excel 출력,PASS,Custom Report·Excel Export,PASS,カスタムレポート・Excel出力,PASS,自定义报告·Excel导出,PASS,自定义报告·Excel导出,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Custom Report·Excel Export,PASS,Báo cáo tùy chỉnh·Xuất Excel,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s6,,MISSING,Settlement & Finance,PASS,精算＆財務,PASS,结算与财务,PASS,结算与财务,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Settlement & Finance,PASS,Quyết toán & Tài chính,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s6i1,정산 이력·채널·Excel,PASS,Settlement History·Channel·Excel,PASS,精算履歴・チャネル・Excel,PASS,结算历史·渠道·Excel,PASS,结算历史·渠道·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Settlement History·Channel·Excel,PASS,Lịch sử quyết toán·Kênh·Excel,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s6i2,결제 목록·Excel,PASS,Payment List·Excel,PASS,決済一覧・Excel,PASS,支付列表·Excel,PASS,支付列表·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Payment List·Excel,PASS,Danh sách thanh toán·Excel,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s6i3,플랜 표시·결제 이력·인보이스,PASS,Plan View·Billing History·Invoice,PASS,プラン表示・決済履歴・インボイス,PASS,方案查看·账单历史·发票,PASS,方案查看·账单历史·发票,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Plan View·Billing History·Invoice,PASS,Xem gói·Lịch sử thanh toán·Hóa đơn,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s6i4,라이선스 활성화·상태,PASS,License Activation·Status,PASS,ライセンス有効化・状態,PASS,许可证激活·状态,PASS,许可证激活·状态,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,License Activation·Status,PASS,Kích hoạt giấy phép·Trạng thái,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s7,채널 & 데이터 연동(국내),PASS,Channel & Data Integration (Domestic),PASS,チャネル＆データ連携（国内）,PASS,渠道与数据集成（国内）,PASS,渠道与数据集成（国内）,PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Channel & Data Integration (Domestic),PASS,Tích hợp Kênh & Dữ liệu (Nội địa),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s7i1,Meta·Google·TikTok·Naver·카카오 광고 연동,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta・Google・TikTok・Naver・カカオ広告連携,PASS,Meta·Google·TikTok·Naver·Kakao广告集成,PASS,Meta·Google·TikTok·Naver·Kakao广告集成,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Meta·Google·TikTok·Naver·Kakao Ad Integration,PASS,Tích hợp QC Meta·Google·TikTok·Naver·Kakao,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s7i2,Coupang 커넥터,PASS,Coupang Connector,PASS,Coupangコネクタ,PASS,Coupang连接器,PASS,Coupang连接器,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Coupang Connector,PASS,Kết nối Coupang,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s7i3,통화 선택(KRW/USD/JPY/EUR 글로벌),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,通貨選択（KRW/USD/JPY/EURグローバル）,PASS,货币选择（KRW/USD/JPY/EUR全球）,PASS,货币选择（KRW/USD/JPY/EUR全球）,PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Currency Selection (KRW/USD/JPY/EUR Global),PASS,Chọn tiền tệ (KRW/USD/JPY/EUR),PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s8,팀 관리,PASS,Team Management,PASS,チーム管理,PASS,团队管理,PASS,团队管理,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Team Management,PASS,Quản lý nhóm,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s8i1,팀원 목록·초대,PASS,Team Member List·Invite,PASS,チームメンバー一覧・招待,PASS,团队成员列表·邀请,PASS,团队成员列表·邀请,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Team Member List·Invite,PASS,Danh sách thành viên·Mời,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s8i2,내 활동 이력,PASS,My Activity History,PASS,自分のアクティビティ履歴,PASS,我的活动历史,PASS,我的活动历史,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,My Activity History,PASS,Lịch sử hoạt động,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_s8i3,지원 티켓,PASS,Support Ticket,PASS,サポートチケット,PASS,支持工单,PASS,支持工单,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Support Ticket,PASS,Phiếu hỗ trợ,PASS,0,skip
pages.marketingIntel.pricingDetail.growth_tagline,성장 단계의 중소 셀러·브랜드,PASS,Growing SMB sellers & brands,PASS,成長期の中小セラー・ブランド,PASS,成长期中小卖家·品牌,PASS,成长期中小卖家·品牌,PASS,Growing SMB sellers & brands,PASS,Growing SMB sellers & brands,PASS,Wachsende KMU-Verkäufer & Marken,PASS,Growing SMB sellers & brands,PASS,Growing SMB sellers & brands,PASS,Growing SMB sellers & brands,PASS,Growing SMB sellers & brands,PASS,Penjual & merek UKM yang berkembang,PASS,ผู้ขายและแบรนด์ SME ที่กำลังเติบโต,PASS,Người bán & thương hiệu SME đang phát triển,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_badge,,MISSING,Popular,PASS,人気,PASS,热门,PASS,热门,PASS,Popular,PASS,Popular,PASS,Beliebt,PASS,Popular,PASS,Popular,PASS,Popular,PASS,Popular,PASS,Populer,PASS,ยอดนิยม,PASS,Phổ biến,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_desc,,MISSING,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth全機能 + AI予測・ジャーニービルダー・グローバルチャネル・ルールエンジン・SmartConnect・1st-Partyピクセル・高度なBI。,PASS,Growth全部 + AI预测·旅程构建器·全球渠道·规则引擎·SmartConnect·第一方像素·高级BI。,PASS,Growth全部 + AI预测·旅程构建器·全球渠道·规则引擎·SmartConnect·第一方像素·高级BI。,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth komplett + KI-Prognose·Journey Builder·Globale Kanäle·Regel-Engine·SmartConnect·1st-Party Pixel·Erweiterte BI.,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Growth All + AI Forecast·Journey Builder·Global Channels·Rule Engine·SmartConnect·1st-Party Pixel·Advanced BI.,PASS,Semua Growth + Prediksi AI·Journey Builder·Saluran global·Rule Engine·SmartConnect·Pixel·BI lanjutan.,PASS,Growth ทั้งหมด + การพยากรณ์ AI·ตัวสร้างเส้นทาง·ช่องทางทั่วโลก·เอ็นจิ้นกฎ·SmartConnect·Pixel·BI ขั้นสูง,PASS,Toàn bộ Growth + Dự đoán AI·Journey Builder·Kênh toàn cầu·Rule Engine·SmartConnect·Pixel·BI nâng cao.,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_headline,AI 자동화 플랜,PASS,AI Automation Plan,PASS,AI自動化プラン,PASS,AI自动化方案,PASS,AI自动化方案,PASS,AI Automation Plan,PASS,AI Automation Plan,PASS,KI-Automatisierungsplan,PASS,AI Automation Plan,PASS,AI Automation Plan,PASS,AI Automation Plan,PASS,AI Automation Plan,PASS,Paket Otomatisasi AI,PASS,แผน AI อัตโนมัติ,PASS,Gói Tự Động Hóa AI,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l1,라이트백 즉시 롤백 — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,ライトバック即時ロールバック — Enterprise,PASS,回写即时回滚 — Enterprise,PASS,回写即时回滚 — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,Writeback Instant Rollback — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l2,Amazon 정책·리뷰 관리 — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazonポリシー・レビュー管理 — Enterprise,PASS,亚马逊策略·评论管理 — Enterprise,PASS,亚马逊策略·评论管理 — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review Mgmt — Enterprise,PASS,Amazon Policy·Review — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l3,시장 점유율·트렌드 AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,市場シェア・トレンドAI — Enterprise,PASS,市场份额·趋势AI — Enterprise,PASS,市场份额·趋势AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Market Share·Trend AI — Enterprise,PASS,Thị phần·Xu hướng AI — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l4,데이터 제품 SLA·거버넌스 — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,データ製品SLA・ガバナンス — Enterprise,PASS,数据产品SLA·治理 — Enterprise,PASS,数据产品SLA·治理 — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA·Governance — Enterprise,PASS,Data Product SLA — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l5,SmartConnect 파트너 API 양방향 — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnectパートナーAPI双方向 — Enterprise,PASS,SmartConnect合作伙伴API双向 — Enterprise,PASS,SmartConnect合作伙伴API双向 — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API Bidirectional — Enterprise,PASS,SmartConnect Partner API — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l6,인플루언서 DB·캠페인 실행 — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,インフルエンサーDB・キャンペーン実行 — Enterprise,PASS,网红数据库·活动执行 — Enterprise,PASS,网红数据库·活动执行 — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign Execution — Enterprise,PASS,Influencer DB·Campaign — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l7,전체 감사 로그 내보내기 — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,監査ログ全体エクスポート — Enterprise,PASS,审计日志全部导出 — Enterprise,PASS,审计日志全部导出 — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Audit Log Full Export — Enterprise,PASS,Xuất toàn bộ Audit Log — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l8,자동 리포트·예약 발송 — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,自動レポート・予約送信 — Enterprise,PASS,自动报告·定时发送 — Enterprise,PASS,自动报告·定时发送 — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Auto Report·Scheduled Send — Enterprise,PASS,Báo cáo tự động·Gửi lịch — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_l9,API 데이터 스트리밍 내보내기 — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,APIデータストリーミングエクスポート — Enterprise,PASS,API数据流导出 — Enterprise,PASS,API数据流导出 — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,API Data Streaming Export — Enterprise,PASS,Xuất API Data Streaming — Enterprise,PASS,0,skip
pages.marketingIntel.pricingDetail.pro_s1,AI 예측 엔진(신규),PASS,AI Forecast Engine (New),PASS,AI予測エンジン（新）,PASS,AI预测引擎（新）,PASS,AI预测引擎（新）,PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Forecast Engine (New),PASS,AI Dự báo (Mới),PASS,0,skip
