keypath,pattern,action,ko_pass,n_locales_pass,n_locales_placeholder,n_locales_missing,ko_value,ko_class,en_value,en_class,ja_value,ja_class,zh_value,zh_class,zh-TW_value,zh-TW_class,es_value,es_class,fr_value,fr_class,de_value,de_class,pt_value,pt_class,ru_value,ru_class,ar_value,ar_class,hi_value,hi_class,id_value,id_class,th_value,th_class,vi_value,vi_class
pages.marketingIntel.influencerUGC.u_90,PAT_X,translate,0,0,15,0,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1,U_90,P1
pages.marketingIntel.influencerUGC.u_91,PAT_X,skip,1,15,0,0,전환율,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS,Conversion Rate,PASS
pages.marketingIntel.influencerUGC.u_92,PAT_X,skip,1,15,0,0,주문 수,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS,Orders,PASS
pages.marketingIntel.influencerUGC.u_93,PAT_X,translate,0,0,15,0,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1,U_93,P1
pages.marketingIntel.influencerUGC.u_94,PAT_X,translate,0,0,15,0,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1,U_94,P1
pages.marketingIntel.influencerUGC.u_95,PAT_X,translate,0,0,15,0,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1,U_95,P1
pages.marketingIntel.influencerUGC.u_96,PAT_X,translate,0,0,15,0,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1,U_96,P1
pages.marketingIntel.influencerUGC.u_97,PAT_X,translate,0,0,15,0,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1,U_97,P1
pages.marketingIntel.influencerUGC.u_98,PAT_B,translate,1,11,4,0,중요도,PASS,U_98,P1,Severity,PASS,Severity,PASS,Severity,PASS,U_98,P1,U_98,P1,Severity,PASS,Severity,PASS,Severity,PASS,Severity,PASS,Severity,PASS,Severity,PASS,Severity,PASS,U_98,P1
pages.marketingIntel.influencerUGC.u_99,PAT_X,translate,0,0,15,0,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1,U_99,P1
pages.marketingIntel.influencerUGC.unit_items,PAT_E,review,0,14,1,0,개,P5,items,PASS,pcs,PASS,pcs,PASS,pcs,PASS,items,PASS,items,PASS,pcs,PASS,pcs,PASS,pcs,PASS,pcs,PASS,pcs,PASS,pcs,PASS,pcs,PASS,媛?,PASS
pages.marketingIntel.influencerUGC.unit_persons,PAT_E,review,0,14,1,0,명,P5,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,people,PASS,紐?,PASS
pages.marketingIntel.influencerUGC.v_100,PAT_X,translate,0,0,15,0,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1,V_100,P1
pages.marketingIntel.influencerUGC.v_101,PAT_X,translate,0,0,15,0,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1,V_101,P1
pages.marketingIntel.influencerUGC.v_102,PAT_X,translate,0,0,15,0,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1,V_102,P1
pages.marketingIntel.influencerUGC.v_103,PAT_X,translate,0,0,15,0,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1,V_103,P1
pages.marketingIntel.influencerUGC.v_104,PAT_X,translate,0,0,15,0,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1,V_104,P1
pages.marketingIntel.influencerUGC.v_105,PAT_X,translate,0,0,15,0,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1,V_105,P1
pages.marketingIntel.influencerUGC.v_106,PAT_X,translate,0,0,15,0,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1,V_106,P1
pages.marketingIntel.influencerUGC.v_107,PAT_X,translate,0,0,15,0,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1,V_107,P1
pages.marketingIntel.influencerUGC.v_108,PAT_X,translate,0,0,15,0,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1,V_108,P1
pages.marketingIntel.influencerUGC.v_109,PAT_X,translate,0,0,15,0,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1,V_109,P1
pages.marketingIntel.influencerUGC.v_110,PAT_X,translate,0,0,15,0,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1,V_110,P1
pages.marketingIntel.influencerUGC.v_111,PAT_X,translate,0,0,15,0,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1,V_111,P1
pages.marketingIntel.influencerUGC.v_112,PAT_X,translate,0,0,15,0,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1,V_112,P1
pages.marketingIntel.influencerUGC.v_113,PAT_X,translate,0,0,15,0,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1,V_113,P1
pages.marketingIntel.influencerUGC.w_200,PAT_X,translate,0,0,15,0,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1,W_200,P1
pages.marketingIntel.influencerUGC.w_201,PAT_X,translate,0,0,15,0,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1,W_201,P1
pages.marketingIntel.influencerUGC.w_202,PAT_X,translate,0,0,15,0,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1,W_202,P1
pages.marketingIntel.influencerUGC.w_203,PAT_X,translate,0,0,15,0,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1,W_203,P1
pages.marketingIntel.influencerUGC.w_204,PAT_X,translate,0,0,15,0,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1,W_204,P1
pages.marketingIntel.influencerUGC.w_205,PAT_X,translate,0,0,15,0,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1,W_205,P1
pages.marketingIntel.influencerUGC.w_206,PAT_X,translate,0,0,15,0,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1,W_206,P1
pages.marketingIntel.influencerUGC.w_207,PAT_X,translate,0,0,15,0,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1,W_207,P1
pages.marketingIntel.influencerUGC.w_300,PAT_X,translate,0,0,15,0,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1,W_300,P1
pages.marketingIntel.influencerUGC.w_301,PAT_X,skip,1,15,0,0,병합,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS,Merge,PASS
pages.marketingIntel.influencerUGC.w_302,PAT_X,translate,0,0,15,0,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1,W_302,P1
pages.marketingIntel.influencerUGC.w_303,PAT_X,translate,0,0,15,0,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1,W_303,P1
pages.marketingIntel.influencerUGC.w_304,PAT_X,translate,0,1,14,0,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,W_304,P1,寃??..,PASS
pages.marketingIntel.influencerUGC.w_305,PAT_X,translate,0,0,15,0,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1,W_305,P1
pages.marketingIntel.influencerUGC.w_400,PAT_X,translate,0,0,15,0,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1,W_400,P1
pages.marketingIntel.influencerUGC.w_401,PAT_X,translate,0,0,15,0,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1,W_401,P1
pages.marketingIntel.influencerUGC.w_402,PAT_X,translate,0,0,15,0,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1,W_402,P1
pages.marketingIntel.inventory,PAT_B,translate,1,1,14,0,재고,PASS,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4,Inventory,P4
pages.marketingIntel.investment,PAT_X,translate,0,0,15,0,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4,Investment,P4
pages.marketingIntel.items,PAT_X,translate,0,2,12,1,,MISSING, items,P4,件,P5,件,P5,件,P5, items,P4, items,P4, items,P4, items,P4, items,P4, items,P4, items,P4, 件,P5, muc,PASS, item,PASS
pages.marketingIntel.kakao.btnCampCreate,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,캠페인 생성,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,캠페인 생성,PASS,캠페인 생성,PASS,,MISSING
pages.marketingIntel.kakao.btnDel,PAT_X,skip,0,14,0,1,,MISSING,Delete,PASS,削除,PASS,删除,PASS,削除,PASS,Delete,PASS,Delete,PASS,Löschen,PASS,Delete,PASS,Delete,PASS,Delete,PASS,Delete,PASS,削除,PASS,削除,PASS,Xóa,PASS
pages.marketingIntel.kakao.btnDelConfirm,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,삭제하시겠습니까?,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,삭제하시겠습니까?,PASS,삭제하시겠습니까?,PASS,,MISSING
pages.marketingIntel.kakao.btnLive,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,📡 실제 발송,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,📡 실제 발송,PASS,📡 실제 발송,PASS,,MISSING
pages.marketingIntel.kakao.btnMock,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,🧪 테스트 (목),PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,🧪 테스트 (목),PASS,🧪 테스트 (목),PASS,,MISSING
pages.marketingIntel.kakao.btnSave,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,⚙️ 설정 저장,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,⚙️ 설정 저장,PASS,⚙️ 설정 저장,PASS,,MISSING
pages.marketingIntel.kakao.btnSaving,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,저장 중...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,저장 중...,PASS,저장 중...,PASS,,MISSING
pages.marketingIntel.kakao.btnSend,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,💬 발송,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,💬 발송,PASS,💬 발송,PASS,,MISSING
pages.marketingIntel.kakao.btnSending,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,발송 중...,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,발송 중...,PASS,발송 중...,PASS,,MISSING
pages.marketingIntel.kakao.btnTplSave,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,템플릿 저장,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,템플릿 저장,PASS,템플릿 저장,PASS,,MISSING
pages.marketingIntel.kakao.campNew,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,💬 새 알림톡 캠페인,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,💬 새 알림톡 캠페인,PASS,💬 새 알림톡 캠페인,PASS,,MISSING
pages.marketingIntel.kakao.campStat,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,📊 캠페인 현황,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,📊 캠페인 현황,PASS,📊 캠페인 현황,PASS,,MISSING
pages.marketingIntel.kakao.colAction,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,アクション,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,アクション,PASS,アクション,PASS,,MISSING
pages.marketingIntel.kakao.colFail,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,실패,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,실패,PASS,실패,PASS,,MISSING
pages.marketingIntel.kakao.colName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,Campaign name,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,Campaign name,PASS,Campaign name,PASS,,MISSING
pages.marketingIntel.kakao.colSendCnt,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,발송수,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,발송수,PASS,발송수,PASS,,MISSING
pages.marketingIntel.kakao.colStat,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,상태,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,상태,PASS,상태,PASS,,MISSING
pages.marketingIntel.kakao.colSucc,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,성공,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,성공,PASS,성공,PASS,,MISSING
pages.marketingIntel.kakao.colTarget,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,세그먼트,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,세그먼트,PASS,세그먼트,PASS,,MISSING
pages.marketingIntel.kakao.colTpl,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,템플릿,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,템플릿,PASS,템플릿,PASS,,MISSING
pages.marketingIntel.kakao.connectedChannels,PAT_X,skip,1,15,0,0,연결된 채널,PASS,Connected Channels,PASS,接続チャネル,PASS,已连接频道,PASS,Connected Channels,PASS,Connected Channels,PASS,Connected Channels,PASS,Verbundene Kanäle,PASS,Connected Channels,PASS,Connected Channels,PASS,Connected Channels,PASS,Connected Channels,PASS,Connected Channels,PASS,Connected Channels,PASS,Kênh kết nối,PASS
pages.marketingIntel.kakao.costPerMsg,PAT_X,skip,1,15,0,0,건당 비용,PASS,Cost/Message,PASS,1件あたりコスト,PASS,每条成本,PASS,Cost/Message,PASS,Cost/Message,PASS,Cost/Message,PASS,Kosten/Nachricht,PASS,Cost/Message,PASS,Cost/Message,PASS,Cost/Message,PASS,Cost/Message,PASS,Cost/Message,PASS,Cost/Message,PASS,Chi phí/tin,PASS
pages.marketingIntel.kakao.delConfirm,PAT_X,skip,1,15,0,0,이 캠페인을 삭제하시겠습니까?,PASS,Delete this campaign?,PASS,このキャンペーンを削除しますか？,PASS,确定删除此活动？,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Kampagne wirklich löschen?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Delete this campaign?,PASS,Xóa chiến dịch này?,PASS
pages.marketingIntel.kakao.dismiss,PAT_X,skip,0,14,0,1,,MISSING,OK,PASS,確認,PASS,确认,PASS,確認,PASS,OK,PASS,OK,PASS,OK,PASS,OK,PASS,OK,PASS,OK,PASS,OK,PASS,確認,PASS,確認,PASS,OK,PASS
pages.marketingIntel.kakao.emptyCamp,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,캠페인 없음,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,캠페인 없음,PASS,캠페인 없음,PASS,,MISSING
pages.marketingIntel.kakao.emptyTpl,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,등록된 템플릿 없음,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,등록된 템플릿 없음,PASS,등록된 템플릿 없음,PASS,,MISSING
pages.marketingIntel.kakao.errGeneral,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,오류가 발생했습니다,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,오류가 발생했습니다,PASS,오류가 발생했습니다,PASS,,MISSING
pages.marketingIntel.kakao.exportCsv,PAT_X,skip,1,15,0,0,CSV 내보내기,PASS,Export CSV,PASS,CSVエクスポート,PASS,导出CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,CSV exportieren,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Export CSV,PASS,Xuất CSV,PASS
pages.marketingIntel.kakao.fApi,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,REST API 키,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,REST API 키,PASS,REST API 키,PASS,,MISSING
pages.marketingIntel.kakao.fCampName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,캠페인명*,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,캠페인명*,PASS,캠페인명*,PASS,,MISSING
pages.marketingIntel.kakao.fCampTpl,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,알림톡 템플릿,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,알림톡 템플릿,PASS,알림톡 템플릿,PASS,,MISSING
pages.marketingIntel.kakao.fContent,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,내용* (변수: #{name} 또는 {{name}}),PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,내용* (변수: #{name} 또는 {{name}}),PASS,내용* (변수: #{name} 또는 {{name}}),PASS,,MISSING
pages.marketingIntel.kakao.fId,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,채널 ID,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,채널 ID,PASS,채널 ID,PASS,,MISSING
pages.marketingIntel.kakao.fMsgType,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,메시지 타입,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,메시지 타입,PASS,메시지 타입,PASS,,MISSING
pages.marketingIntel.kakao.fName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,채널명,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,채널명,PASS,채널명,PASS,,MISSING
pages.marketingIntel.kakao.fSender,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,발신키 (발신 프로필 키),PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,발신키 (발신 프로필 키),PASS,발신키 (발신 프로필 키),PASS,,MISSING
pages.marketingIntel.kakao.fTarget,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,대상 세그먼트,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,대상 세그먼트,PASS,대상 세그먼트,PASS,,MISSING
pages.marketingIntel.kakao.fTplCode,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,템플릿 코드* (카카오 승인 코드),PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,템플릿 코드* (카카오 승인 코드),PASS,템플릿 코드* (카카오 승인 코드),PASS,,MISSING
pages.marketingIntel.kakao.fTplName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,템플릿명*,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,템플릿명*,PASS,템플릿명*,PASS,,MISSING
pages.marketingIntel.kakao.goHub,PAT_X,skip,1,15,0,0,통합 허브로 이동,PASS,Go to Integration Hub,PASS,統合ハブへ,PASS,前往集成中心,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Zum Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Go to Integration Hub,PASS,Đến Integration Hub,PASS
pages.marketingIntel.kakao.guideCampDesc,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,管理,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,管理,PASS,管理,PASS,,MISSING
pages.marketingIntel.kakao.guideCampName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,キャンペーン,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,キャンペーン,PASS,キャンペーン,PASS,,MISSING
pages.marketingIntel.kakao.guideSetDesc,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,API設定,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,API設定,PASS,API設定,PASS,,MISSING
pages.marketingIntel.kakao.guideSetName,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,設定,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,設定,PASS,設定,PASS,,MISSING
pages.marketingIntel.kakao.guideTabsTitle,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,Guide Tabs Title,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,Guide Tabs Title,PASS,Guide Tabs Title,PASS,,MISSING
pages.marketingIntel.kakao.guideTplDesc,PAT_D,skip,0,3,0,12,,MISSING,,MISSING,,MISSING,,MISSING,登録・テスト,PASS,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,登録・テスト,PASS,登録・テスト,PASS,,MISSING
